# idx otype sptprice strike rate volatility otime price
0 0 104.04697420979385 103.20570280398091 0.09837464949334096 0.66036227763133859 0.25861171233945907 11.995828196031709
1 0 90.001927104165347 66.14613716846435 0.073517607777189353 0.29628741975348916 0.21252998499178233 0.05058850915620916
2 1 98.634923771534375 78.9782576824866 0.058589831311977141 0.38817369783190475 0.90350051381521457 4.1491194961006244
3 1 68.562395270335614 115.69742280944126 0.06444915804330642 0.79510997790055749 2.4218865100874134 54.440345007678502
4 1 53.003473070196769 111.68679431326099 0.094699998765607349 0.52582771941494688 2.7163769759685761 43.340418706682449
5 0 52.200606260006921 116.10441603135766 0.038866945689075665 0.56839111471083903 0.24839524438396246 62.811237862894494
6 1 92.660290618951478 161.08035304164071 0.074657642153048084 0.69191335191259462 0.65403314655994482 67.107442088521381
7 0 87.78694841899555 78.756786999140459 0.019619430171550521 0.58706409395367909 2.6034441755219926 23.527914410551169
8 1 116.02152788437758 149.30984238144742 0.0220693362374067 0.51324778178535491 0.47521550958319275 38.479132272644705
9 0 126.02828126319613 99.576224491658266 0.098804467041812616 0.53524736346951762 2.5052343040118625 14.154843144225527
10 0 72.327428508553609 75.139329519081201 0.064757315828715314 0.42802360291220487 1.2172488501334033 11.8377469201317
11 0 68.012175964552995 113.29349898418819 0.048679743053802349 0.13586023940470976 0.054049504877317106 44.983234680672808
12 1 91.146700297335428 105.96132990722184 0.08123650323959207 0.47346320669735781 2.7838417089443603 23.777570797529144
13 1 128.12470355770139 108.4521070326339 0.03297447559681848 0.7473481743926178 2.5933873499114215 38.244166408688187
14 1 110.36623222788199 132.28254525893482 0.080240374051158123 0.23356382439021894 1.6043403500691533 16.503269215920625
15 1 112.19219693777154 87.185181578714676 0.021913697782480954 0.49573736252692385 0.51972367785041995 4.6674071659295286
16 1 96.672360865813786 91.025183072819559 0.048684729782451461 0.79326541269219653 2.2278989221714824 32.639737576080933
17 0 121.7521967658607 95.169761478608649 0.027556247454252752 0.36910973434899724 1.4375989078144724 7.2059457543021459
18 0 47.638524355090517 115.0357912093244 0.013551504836065721 0.58752202027199352 1.2338936617962388 67.466307625493585
19 0 95.125567783745836 78.416269458930486 0.033870661844454718 0.5062043817858517 2.1923976105309397 14.83390970150414
20 0 97.747294113872911 85.894067407997838 0.083935160419734603 0.10843042794274635 2.352921893470715 0.12847704495083589
21 0 114.49771555744951 124.79117148553345 0.03442312306591705 0.37175083541154103 1.368286934277765 22.454904974541293
22 0 132.44580225782829 138.04813053459119 0.036473669340058835 0.4044530011976038 2.1262613165654187 27.876694178185389
23 1 134.50611090133637 118.39189640079697 0.043595838039000342 0.066316893517516684 1.783475360663537 0.037217218628840198
24 1 62.203244535483982 84.580350476117928 0.051838579008468083 0.74469560225453368 2.3845704696964618 36.374463094828222
25 1 85.750152593263181 89.428128239324892 0.058402278888691629 0.76789391699569565 2.0913291384425339 31.512496046292519
26 1 117.85789403309268 88.394530037246 0.049205039167595041 0.20798407872450053 0.85497039852742374 0.52476927768928228
27 1 94.663223644475465 145.25096166032012 0.069220781346381197 0.54638704602682919 2.0617162138389169 50.272160248830232
28 1 78.216069412663145 87.957605290162846 0.0042419342490062229 0.13884373811418688 0.64155009159505239 10.224977228881514
29 0 111.27756642196616 87.203032819819583 0.049009797123132769 0.28943946595082276 1.9227839118296421 4.1556046968558782
30 0 97.229943758450347 122.08584147293915 0.056458657791443261 0.74560887131219333 2.395089655342157 49.282248640061312
31 1 97.439889983825267 90.986979689788711 0.0039186591919057366 0.47931053416886632 0.2695317136167833 6.4096038338828407
32 1 40.598184527968598 56.084267648281084 0.0015323938600005878 0.27942959278708102 1.895474388589399 17.380992155266366
33 0 70.786447365617533 82.465231175187114 0.022017413411458894 0.43168763677985761 2.2023586776678648 22.890502332313023
34 0 66.225026207322543 116.84906566858149 0.0027650808615822739 0.21705332087977369 2.119486979320321 50.591983127494082
35 0 97.178920293069822 81.588022660439194 0.084705907193734123 0.60657193750403215 1.5578253893881631 13.94201111252984
36 1 161.51202474078019 78.414659630542388 0.065661662645431593 0.74319005824641327 0.21381092841553567 0.35046363547467818
37 0 104.9296692643379 103.12019282719157 0.058586532082443424 0.57812332033599501 2.7846410192637046 27.56891459863423
38 0 87.907248484039513 79.724475226323278 0.03631032244637071 0.50077853732534183 1.3653180945084347 13.402981783456081
39 1 106.81336960574082 109.78504953814974 0.039692171715328767 0.058235969589126968 0.88278022669813672 1.9405708839432592
40 1 119.50767193142305 111.87203523477275 0.053931875309023873 0.099348563568016024 1.1246419140526378 0.65921124068496439
41 1 83.700259079494273 68.305947050817437 0.089229859933478595 0.67822799714768145 1.8674583458314813 14.138701219172802
42 0 89.121910709287476 97.517380033676659 0.090926332520044173 0.16974188064154583 0.37586422977000689 6.8984984811647081
43 1 40.534950259750481 87.380096634434949 0.0060929866828160024 0.48588116820196409 1.6734910732162049 47.950237319708172
44 0 116.8619266964542 125.28058317997237 0.01991140220303738 0.099014371192199607 2.9694878530732116 8.6145959013339208
45 0 108.66009749499432 105.65849246997389 0.058955649293885852 0.30864713822281237 1.808589815617657 10.754837717547609
46 1 80.025281975775073 139.18734970140281 0.058267961911922787 0.7208393363548371 2.9106981631971904 64.636373223334573
47 0 104.77910908292314 87.751519482412846 0.07481297908223572 0.70015194717787588 1.4677294163882573 18.645748312217229
48 0 65.141521335240128 96.226977285157602 0.023560559822495983 0.78020755408747333 2.4042467443540905 49.426609356727887
49 1 93.470657441835968 100.36643949893029 0.072823778465117103 0.16630845539609201 1.5681671269233701 5.7815579629640155
50 1 158.46416772568384 82.678160799541686 0.0022917180877604078 0.62651878648855885 0.68139793341438792 4.2754131400941233
51 0 110.69181067167574 103.23179110935845 0.085669501450255481 0.56600139797807214 2.2861349246857872 20.926655762238482
52 0 88.721868003616834 77.267100543066789 0.04607456127521737 0.64124306584795121 0.065214713449244233 1.4526314762748189
53 0 145.99110233787792 96.935808162597127 0.093533855251849429 0.19300794405207383 2.4028500290471242 0.31083811948396356
54 0 107.82466012639243 65.208454232096742 0.042116680966351801 0.24008304949664738 0.24423847971704013 2.5539013497156071e-05
55 0 131.85800067630902 79.137143034937452 0.01091498844634591 0.77447314529882283 1.2066701033233516 17.940732184051317
56 1 134.48769305803637 144.35073806967461 0.065541168772525721 0.25491509836763898 1.3669189541313145 14.560716700544326
57 0 138.20877385800117 134.76265917772628 0.011287707738495217 0.10708983104357167 1.105830481930238 3.8704903123485792
58 1 143.67460484948555 49.063452311722877 0.096220963613731461 0.25756149131082362 2.7399249917836626 0.01174846580098346
59 1 62.790993328853567 88.86279134487252 0.094683640741614394 0.22981816311448788 0.60681300005335725 21.398003057026749
60 1 83.245907576812002 83.918497399682053 0.077790911573934682 0.77128265654957451 1.5061752517703189 24.608236711201094
