Synthetic graph: N=100000, ~in-degree=10, M=1000000
Time: 0.228042 seconds
pr(0) = 0.000008306499
pr(1) = 0.000008195608
pr(2) = 0.000010557096
pr(3) = 0.000008353445
pr(4) = 0.000011190467
pr(5) = 0.000010248803
pr(6) = 0.000009579661
pr(7) = 0.000011290742
pr(8) = 0.000011406143
pr(9) = 0.000010798472
pr(10) = 0.000012301230
pr(11) = 0.000011920924
pr(12) = 0.000009462227
pr(13) = 0.000010159709
pr(14) = 0.000008399172
pr(15) = 0.000009139234
pr(16) = 0.000008820017
pr(17) = 0.000009228814
pr(18) = 0.000012787119
pr(19) = 0.000009643131
pr(20) = 0.000009138645
pr(21) = 0.000012390153
pr(22) = 0.000009207199
pr(23) = 0.000009050323
pr(24) = 0.000010952163
pr(25) = 0.000009821200
pr(26) = 0.000011026249
pr(27) = 0.000010359387
pr(28) = 0.000009694177
pr(29) = 0.000009127809
pr(30) = 0.000009113381
pr(31) = 0.000010246208
pr(32) = 0.000010613367
pr(33) = 0.000010702422
pr(34) = 0.000009263084
pr(35) = 0.000010373064
pr(36) = 0.000009244289
pr(37) = 0.000008604352
pr(38) = 0.000009502598
pr(39) = 0.000009488833
pr(40) = 0.000010284894
pr(41) = 0.000009068770
pr(42) = 0.000011475210
pr(43) = 0.000009639769
pr(44) = 0.000009929198
pr(45) = 0.000010114323
pr(46) = 0.000010021163
pr(47) = 0.000009426443
pr(48) = 0.000009045990
pr(49) = 0.000011555718
pr(50) = 0.000010041487
pr(51) = 0.000011223373
pr(52) = 0.000009249175
pr(53) = 0.000010464702
pr(54) = 0.000011050702
pr(55) = 0.000011218910
pr(56) = 0.000009270994
pr(57) = 0.000009254039
pr(58) = 0.000010098805
pr(59) = 0.000009879167
pr(60) = 0.000008369687
pr(61) = 0.000010641583
pr(62) = 0.000012550985
pr(63) = 0.000009211838
pr(64) = 0.000010985019
pr(65) = 0.000009444586
pr(66) = 0.000009241762
pr(67) = 0.000010015855
pr(68) = 0.000009508347
pr(69) = 0.000009591193
pr(70) = 0.000009691505
pr(71) = 0.000009255627
pr(72) = 0.000009576670
pr(73) = 0.000008651464
pr(74) = 0.000011031025
pr(75) = 0.000009965900
pr(76) = 0.000009697583
pr(77) = 0.000009964870
pr(78) = 0.000008652095
pr(79) = 0.000012025659
pr(80) = 0.000010334084
pr(81) = 0.000011937006
pr(82) = 0.000009362876
pr(83) = 0.000009764024
pr(84) = 0.000009030019
pr(85) = 0.000008549111
pr(86) = 0.000011058266
pr(87) = 0.000010651366
pr(88) = 0.000008754262
pr(89) = 0.000009606271
pr(90) = 0.000009538762
pr(91) = 0.000010115715
pr(92) = 0.000009098476
pr(93) = 0.000010867493
pr(94) = 0.000010038255
pr(95) = 0.000009818790
